corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tulil	jkpp	0001	#	#	#nc	#nc				
tulil	jkpp	0001	do	now	nc	nc				
tulil	jkpp	0001	ava	again	nc	nc				
tulil	jkpp	0001	ngan-əngar	1SG.NPST-say	nc	nc				
tulil	jkpp	0001	be	at	nc	nc				
tulil	jkpp	0001	nga	1SG.POSS	nc	nc				
tulil	jkpp	0001	ləm	live	nc	nc				
tulil	jkpp	0002	#	#	##	##				
tulil	jkpp	0002	0	0	0.h:a	0	h	a	3001	new
tulil	jkpp	0002	ngang	1SG	pro.1:dt_p	pro	1	dt_p	3002	bridging
tulil	jkpp	0002	o	TOP	other	other				
tulil	jkpp	0002	tə-mat	3PL.PST-get	v:pred	v		pred		
tulil	jkpp	0002	ngang	1SG	pro.1:p	pro	1	p	3002	
tulil	jkpp	0002	be	at	adp	adp				
tulil	jkpp	0002	təgəta	one.CL:MASC	np:other	np		other		
tulil	jkpp	0002	nereita	six.CL:MASC	rn	rn				
tulil	jkpp	0002	ko	plus	rn	rn				
tulil	jkpp	0002	mukəm_magərung	three.CL:MASC	rn	rn				
tulil	jkpp	0002	me	and	rn	rn				
tulil	jkpp	0002	balakətəria	four.CL:MASC	rn	rn				
tulil	jkpp	0002	me	and	rn	rn				
tulil	jkpp	0002	tuain	egg	rn	rn				
tulil	jkpp	0002	=a	=SG.CL:MASC	=rn	=rn				
tulil	jkpp	0002	laləng	year	np:appos	np		appos		
tulil	jkpp	0002	=a	=SG.CL:MASC	=rn	=rn				
tulil	jkpp	0002	a-vi	3SG.M-PROX1	rn	rn				
tulil	jkpp	0003	#	#	##	##				
tulil	jkpp	0003	laik	big	np.h:pred	np	h	pred		
tulil	jkpp	0003	=a	=SG.CL:MASC	=rn	=rn				
tulil	jkpp	0003	ngang	1SG	pro.1:s	pro	1	s	3002	
tulil	jkpp	0003	nanbət	like_that	other	other				
tulil	jkpp	0003	#	#	##	##				
tulil	jkpp	0003	məte	like	other	other				
tulil	jkpp	0003	laik	big	other:pred	other		pred		
tulil	jkpp	0003	ngang	1SG	pro.1:s	pro	1	s	3002	
tulil	jkpp	0003	#	#	##	##				
tulil	jkpp	0003	me	and	other	other				
tulil	jkpp	0003	pən	fight	np:dt_s	np		dt_s	3003	new
tulil	jkpp	0003	laik	big	rn	rn				
tulil	jkpp	0003	u-bət	3N-PROX2	rn	rn				
tulil	jkpp	0003	to	belong_to	rn	rn				
tulil	jkpp	0003	a-mənə	ART-people(Kuanua)	rn	rn				
tulil	jkpp	0003	Siapan	Japan	rn_pn_np	rn_pn_np				
tulil	jkpp	0003	o	TOP	other	other				
tulil	jkpp	0003	ar	still	other	other				
tulil	jkpp	0003	kotək	absent	v:pred	v		pred		
tulil	jkpp	0003	idə	3N	pro:s_sv	pro		s_sv	3003	
tulil	jkpp	0004	#	#	##	##				
tulil	jkpp	0004	nə-bət	LOC-PROX2	dem_other	dem_other				
tulil	jkpp	0004	məte	like	other	other				
tulil	jkpp	0004	laik	big	np:pred	np		pred		
tulil	jkpp	0004	=a	=SG.CL:MASC	=rn	=rn				
tulil	jkpp	0004	ngang	1SG	pro.1:s	pro	1	s	3002	
tulil	jkpp	0004	#	#	##	##				
tulil	jkpp	0004	təre	true	other	other				
tulil	jkpp	0004	moli	real	other	other				
tulil	jkpp	0004	du	1PL.POSS	ln_pro.1:poss	ln_pro	1	poss	3004	bridging
tulil	jkpp	0004	ləm	life	np:s	np		s	3005	bridging
tulil	jkpp	0004	bəvon	before	rn	rn				
tulil	jkpp	0004	avar	also	other	other				
tulil	jkpp	0004	kəməron	different	other:pred	other		pred		
tulil	jkpp	0004	#	#	#neg	#neg				
tulil	jkpp	0004	0	0	0.1:s	0	1	s	3004	
tulil	jkpp	0004	to	SUB	other	other				
tulil	jkpp	0004	kori	NEG	other	other				
tulil	jkpp	0004	du-tuk	1PL.PST-grow	v:pred	v		pred		
tulil	jkpp	0004	vəvat	very	rv	rv				
tulil	jkpp	0004	#	#	##neg	##neg				
tulil	jkpp	0004	məte	like	other	other				
tulil	jkpp	0004	kori	NEG	other	other				
tulil	jkpp	0004	go	NSPEC	other	other				
tulil	jkpp	0004	idə-tu	3N.PST-grow	v:pred	v		pred		
tulil	jkpp	0004	udu	1PL	pro.1:s_iv	pro	1	s_iv	3004	
tulil	jkpp	0004	#	#	#ac	#ac				
tulil	jkpp	0004	0	0	0.1:a	0	1	a	3004	
tulil	jkpp	0004	tove	because	other	other				
tulil	jkpp	0004	məgət	today	other:dt	other		dt		
tulil	jkpp	0004	o	TOP	other	other				
tulil	jkpp	0004	bə=	ASP=	=other	=other				
tulil	jkpp	0004	də-mət	1PL.NPST-eat	v:pred	v		pred		
tulil	jkpp	0004	=a	=PAT	=ln	=ln				
tulil	jkpp	0004	mətmət	food	np:p	np		p	3006	bridging
tulil	jkpp	0004	mərek	good	rn	rn				
tulil	jkpp	0004	#	#	#	#				
tulil	jkpp	0004	me	and	other	other				
tulil	jkpp	0004	it-tu	3N.NPST-grow	v:pred	v		pred		
tulil	jkpp	0004	udu	1PL	pro.1:s_iv	pro	1	s_iv	3004	
tulil	jkpp	0004	#	#	##	##				
tulil	jkpp	0004	bəvon	before	other:s	other		s		
tulil	jkpp	0004	o	TOP	other	other				
tulil	jkpp	0004	kori	NEG	other:pred	other		pred		
tulil	jkpp	0005	#	#	##	##				
tulil	jkpp	0005	io	then	other	other				
tulil	jkpp	0005	laik	big	other:pred	other		pred		
tulil	jkpp	0005	ngang	1SG	pro.1:s	pro	1	s	3002	
tulil	jkpp	0005	nanbət	like_that	other	other				
tulil	jkpp	0006	#	#	##	##				
tulil	jkpp	0006	io	then	other	other				
tulil	jkpp	0006	lət	arrive	v:pred	v		pred		
tulil	jkpp	0006	n	APPL	rv	rv				
tulil	jkpp	0006	=a	=PAT	=ln	=ln				
tulil	jkpp	0006	pən	fight	np:s_sv	np		s_sv	3003	
tulil	jkpp	0006	i-to	3N.belong_to	rn	rn				
tulil	jkpp	0006	a-Siapan	ART-Japan	rn_pn_np	rn_pn_np				
tulil	jkpp	0006	#	#	##	##				
tulil	jkpp	0006	0	0	0:s	0		s	3003	
tulil	jkpp	0006	me	and	other	other				
tulil	jkpp	0006	pən	fight	np:dt_s	np		dt_s	3003	
tulil	jkpp	0006	u-bət	3N-PROX2	rn	rn				
tulil	jkpp	0006	o	TOP	other	other				
tulil	jkpp	0006	idə-mətor	3N.PST-sit	v:pred	v		pred		
tulil	jkpp	0006	mata	for	adp	adp				
tulil	jkpp	0006	laləng	year	np:other	np		other	3007	new
tulil	jkpp	0006	balakətəria	four.CL:MASC	rn	rn				
tulil	jkpp	0007	#	#	##	##				
tulil	jkpp	0007	0	0	0.1:s	0	1	s	3004	
tulil	jkpp	0007	be	at	adp	adp				
tulil	jkpp	0007	təm	knowledge	np:other	np		other		
tulil	jkpp	0007	u-bət	3N-PROX2	rn	rn				
tulil	jkpp	0007	udu	1PL	pro.1:dt_s	pro	1	dt_s	3004	
tulil	jkpp	0007	o	TOP	other	other				
tulil	jkpp	0007	du-tərut	1PL.PST-hide	v:pred	v		pred		
tulil	jkpp	0007	ti	lest	adp	adp				
tulil	jkpp	0007	u-vi	3N-PROX1	dem_pro:obl	dem_pro		obl	3008	new
tulil	jkpp	0007	#	#	#rc	#rc				
tulil	jkpp	0007	0	0	0:s	0		s	3008	
tulil	jkpp	0007	to	REL	other	other				
tulil	jkpp	0007	it-i~miau	3N.NPST-RED~fly	v:pred	v		pred		
tulil	jkpp	0007	ba	in	adp	adp				
tulil	jkpp	0007	maok	space	np:l	np		l	3009	unused
tulil	jkpp	0007	=a	=SG.CL:MASC	=rn	=rn				
tulil	jkpp	0007	a-tepelin	ART-airplane	np:appos	np		appos	3008	
tulil	jkpp	0008	#	#	##	##				
tulil	jkpp	0008	0	0	0.1:s	0	1	s	3004	
tulil	jkpp	0008	io	then	other	other				
tulil	jkpp	0008	du-tərut	1PL.PST-hide	v:pred	v		pred		
tulil	jkpp	0008	ba	in	adp	adp				
tulil	jkpp	0008	bek	cave	np:l	np		l	3010	new
tulil	jkpp	0008	=a	=SG.CL:MASC	=rn	=rn				
tulil	jkpp	0008	term	next_to	rn	rn				
tulil	jkpp	0008	=a	=PAT	=rn	=rn				
tulil	jkpp	0008	Vurvəgi	Vurvəgi	rn_pn_np	rn_pn_np			3011	new
tulil	jkpp	0008	#	#	##	##				
tulil	jkpp	0008	0	0	0.h:a	0	h	a		
tulil	jkpp	0008	nə-bət	LOC-PROX2	dem_other:dt	dem_other		dt		
tulil	jkpp	0008	o	TOP	other	other				
tulil	jkpp	0008	tə-t~tak	3PL.PST-RED~call	v:pred	v		pred		
tulil	jkpp	0008	be	at	rv	rv				
tulil	jkpp	0008	vət-bət	3N.SEG-PROX2	dem_pro:p	dem_pro		p	3010	
tulil	jkpp	0008	#	#	#	#				
tulil	jkpp	0008	0	0	0.h:s	0	h	s		
tulil	jkpp	0008	to	REL	other	other				
tulil	jkpp	0008	tat-e	3PL-QUOT	other:pred	other		pred		
tulil	jkpp	0008	Ga	across	adp	adp				
tulil	jkpp	0008	kora	mango	ln_np	ln_np				
tulil	jkpp	0008	və=	3SG.M.POSS=	=ln	=ln				
tulil	jkpp	0008	katə	foot.PL	np:other	np		other	3012	new
tulil	jkpp	0009	#	#	##	##				
tulil	jkpp	0009	0	0	0.1:s	0	1	s	3013	bridging
tulil	jkpp	0009	nan	mom	np.h:dt	np	h	dt	3001	
tulil	jkpp	0009	=e	=SG.CL:FEM	=rn	=rn				
tulil	jkpp	0009	e-Diat	ART.F-Diat	rn_pn_np.h	rn_pn_np	h			
tulil	jkpp	0009	du-mengəp	1PL.PST-sleep	v:pred	v		pred		
tulil	jkpp	0009	ba	in	adp	adp				
tulil	jkpp	0009	vərai	pit	np:l	np		l	3010	
tulil	jkpp	0009	=a	=SG.CL:MASC	=rn	=rn				
tulil	jkpp	0009	#	#	##neg	##neg				
tulil	jkpp	0009	kori	NEG	other	other				
tulil	jkpp	0009	go	NSPEC	rn	rn				
tulil	jkpp	0009	pək	bright	np:predex	np		predex		
tulil	jkpp	0009	=a	=SG.CL:MASC	=rn	=rn				
tulil	jkpp	0009	#	#	##	##				
tulil	jkpp	0009	vul	dark	np:predex	np		predex		
tulil	jkpp	0009	=vət	=vət	=rn	=rn				
tulil	jkpp	0010	#	#	##	##				
tulil	jkpp	0010	0	0	0.h:s	0	h	s	3001	
tulil	jkpp	0010	io	then	other	other				
tulil	jkpp	0010	bərtəm	night	np:dt	np		dt	3014	new
tulil	jkpp	0010	o	TOP	other	other				
tulil	jkpp	0010	nan	mom	np.h:dt_s	np	h	dt_s	3001	
tulil	jkpp	0010	=e	=SG.CL:FEM	=rn	=rn				
tulil	jkpp	0010	o	TOP	other	other				
tulil	jkpp	0010	b=	ASP=	=other	=other				
tulil	jkpp	0010	i-ngəp	3SG.F.PST-die	v:pred	v		pred		
tulil	jkpp	0010	#	#	##neg	##neg				
tulil	jkpp	0010	ngang	1SG	pro.1:dt_s	pro	1	dt_s	3002	
tulil	jkpp	0010	o	TOP	other	other				
tulil	jkpp	0010	ar	still	other	other				
tulil	jkpp	0010	kori	NEG	other	other				
tulil	jkpp	0010	go	NSPEC	lv	lv				
tulil	jkpp	0010	laik	big	other:pred	other		pred		
tulil	jkpp	0010	ngang	1SG	pro.1:s	pro	1	s	3002	
tulil	jkpp	0010	#	#	#	#				
tulil	jkpp	0010	0	0	0.1:s	0	1	s	3002	
tulil	jkpp	0010	me	and	other	other				
tulil	jkpp	0010	ngə-m~mi	1SG.PST-RED~suck	v:pred	v		pred		
tulil	jkpp	0010	bem	at	adp	adp				
tulil	jkpp	0010	=e	=3SG.F.PAT	=pro.h:obl	=pro	h	obl	3001	
tulil	jkpp	0010	#	#	##neg	##neg				
tulil	jkpp	0010	məte	like	other	other				
tulil	jkpp	0010	kori	NEG	other	other				
tulil	jkpp	0010	go	NSPEC	ln	ln				
tulil	jkpp	0010	mərek	good	np:predex	np		predex		
tulil	jkpp	0010	=pət	=pət	=rn	=rn				
tulil	jkpp	0010	#	#	##neg	##neg				
tulil	jkpp	0010	ko	NEG	other	other				
tulil	jkpp	0010	go	NSPEC	ln	ln				
tulil	jkpp	0010	viuv	taste	np:predex	np		predex		
tulil	jkpp	0010	=a	=SG.CL:MASC	=rn	=rn				
tulil	jkpp	0010	ba	in	adp	adp				
tulil	jkpp	0010	umək	breast	np:l	np		l	3015	bridging
tulil	jkpp	0010	#	#	##neg	##neg				
tulil	jkpp	0010	me	and	other	other				
tulil	jkpp	0010	ngang	1SG	pro.1:a	pro	1	a	3002	
tulil	jkpp	0010	avar	also	other	other				
tulil	jkpp	0010	kori	NEG	other	other				
tulil	jkpp	0010	ngə-təm	1SG.PST-know	v:pred	v		pred		
tulil	jkpp	0010	#	#	#cc:p	#cc		p		
tulil	jkpp	0010	0	0	0.h:s	0	h	s	3001	
tulil	jkpp	0010	ngan-e	1SG-QUOT	other	other				
tulil	jkpp	0010	b=	ASP=	=other	=other				
tulil	jkpp	0010	i-ngəp	3SG.F.PST-die	v:pred	v		pred		
tulil	jkpp	0011	#	#	##	##				
tulil	jkpp	0011	du	1PL.POSS	ln_pro.1:poss	ln_pro	1	poss	3004	
tulil	jkpp	0011	laik	big	ln_np.h:poss	ln_np	h	poss	3016	new
tulil	jkpp	0011	=a	=SG.CL:MASC	=rn	=rn				
tulil	jkpp	0011	va	3SG.M.POSS	ln_pro.h:poss	ln_pro	h	poss	3016	
tulil	jkpp	0011	itən	name	np:s	np		s	3017	bridging
tulil	jkpp	0011	=e	=SG.CL:FEM	=rn	=rn				
tulil	jkpp	0011	Turogua	Turogua	pn_np:pred	pn_np		pred		
tulil	jkpp	0011	#	#	##	##				
tulil	jkpp	0011	dərng	old	np.h:dt_poss	np	h	dt_poss	3016	
tulil	jkpp	0011	=a	=SG.CL:MASC	=rn	=rn				
tulil	jkpp	0011	a-vi	3SG.M-PROX1	rn	rn				
tulil	jkpp	0011	#	#	#rc	#rc				
tulil	jkpp	0011	to	REL	other	other				
tulil	jkpp	0011	v=	3SG.M.POSS=	=ln_pro.h:poss	=ln_pro	h	poss	3016	
tulil	jkpp	0011	uil	son;daughter	np.h:s	np	h	s	3018	new
tulil	jkpp	0011	=a	=SG.CL:MASC	=rn	=rn				
tulil	jkpp	0011	to-Kidol	ART.M-Kidol	pn_np.h:pred	pn_np	h	pred		
tulil	jkpp	0011	#	#	#	#				
tulil	jkpp	0011	0	0	0.h:a	0	h	a	3016	
tulil	jkpp	0011	me	and	other	other				
tulil	jkpp	0011	və-bena	3SG.M.PST-marry	v:pred	v		pred		
tulil	jkpp	0011	=a	=PAT	=ln	=ln				
tulil	jkpp	0011	e-Nunu	ART.F-Nunu	pn_np.h:p	pn_np	h	p	3019	new
tulil	jkpp	0012	#	#	##	##				
tulil	jkpp	0012	io	then	other	other				
tulil	jkpp	0012	iap	3SG.M	pro.h:dt_s	pro	h	dt_s	3016	
tulil	jkpp	0012	o	TOP	other	other				
tulil	jkpp	0012	ləm	live	other:pred	other		pred		
tulil	jkpp	0012	=a	=3SG.M.PAT	=pro.h:s	=pro	h	s	3016	
tulil	jkpp	0012	a-n	3SG.M-COM	adp	adp				
tulil	jkpp	0012	=udu	=1PL	=pro.1:obl	=pro	1	obl	3004	
tulil	jkpp	0012	ngə=	1SG.POSS.INAL=	=ln_pro.1:poss	=ln_pro	1	poss	3002	
tulil	jkpp	0012	mativon	brother	np.h:appos	np	h	appos	3020	bridging
tulil	jkpp	0012	=nəvənik	=PL.CL:DIM	=rn	=rn				
tulil	jkpp	0012	katum	all	rn	rn				
tulil	jkpp	0012	ta	3PL	rn	rn			3020	
tulil	jkpp	0012	məte	like	rn	rn				
tulil	jkpp	0012	to-Pipite	ART.M-Pipite	rn_pn_np	rn_pn_np			3021	new
tulil	jkpp	0012	e-Lula	ART.F-Lula	rn_pn_np	rn_pn_np			3022	new
tulil	jkpp	0012	Tavinor	Tavinor	rn_pn_np	rn_pn_np			3023	new
tulil	jkpp	0012	Tade	Tade	rn_pn_np	rn_pn_np			3024	new
tulil	jkpp	0012	me	and	rn	rn				
tulil	jkpp	0012	to-Melekit	ART.M-Melekit	rn_pn_np	rn_pn_np			3025	new
tulil	jkpp	0012	me	and	rn	rn				
tulil	jkpp	0012	ngang	1SG	rn_pro.1	rn_pro	1		3002	
tulil	jkpp	0012	#	#	##	##				
tulil	jkpp	0012	ngang	1SG	pro.1:s	pro	1	s	3002	
tulil	jkpp	0012	o	TOP	other	other				
tulil	jkpp	0012	toktok	end	other:pred	other		pred		
tulil	jkpp	0012	#	#	##	##				
tulil	jkpp	0012	bemə	bemə	nc	nc				
tulil	jkpp	0012	ngang	1SG	pro.1:s	pro	1	s		
tulil	jkpp	0013	#	#	##	##				
tulil	jkpp	0013	io	then	other	other				
tulil	jkpp	0013	nan	mom	np.h:s	np	h	s	3001	
tulil	jkpp	0013	=e	=SG.CL:FEM	=rn	=rn				
