ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID,isnref,refind,refindFK
all1_0001,mctulil,ngang o nga itəne Augustine Rickie.,#	ngang	o	nga	itən	=e	Augustine	Rickie,#	1SG	TOP	1SG.POSS	name	=SG.CL:FEM	Augustine	Rickie,My name is Augustine Rickie.,en,MORPHEME_ALIGNED,,all1_mp3 all1_wav all1_eaf all1_xml all1_tsv,,2170,5000,#nc	nc	nc	nc	nc	nc	nc	nc,,all1,∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅
all1_0002,mctulil,me do nganəngar be apir to ngəmat idə bətma nga iaia.,#	me	do	nga-nəngar	be	a-pir	to	ngə-mat	idə	bətm	=a	nga	iaia,#	and	here;now	1SG.NPST-say	at	ART-story	REL	1SG.PST-get	3N	with	=PAT	1SG.POSS	grandpa,Now I'm going to tell a story I got from my grandpa.,en,MORPHEME_ALIGNED,,all1_mp3 all1_wav all1_eaf all1_xml all1_tsv,,5000,12879,#nc	nc	nc	nc	nc	nc	nc	nc	nc	nc	nc	nc	nc,,all1,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
all1_0003,mctulil,"nga iaia vəmume ngang ate, ar bəvon kup nəmə ba ibəne dova Butəm o tore bimətor-, bimətor kia me doto vəti təgəvon o vativon o vəpi təga gup to Kankan.",#	nga	iaia	və-m~ume	ngang	at-e	#	ar	bəvon	kup	nə-mə	ba	ibən	=e	dova	Butəm	o	tor	=e	b=	i-mətor	#	0	b=	i-mətor	kia	#	0	me	doto	vəti	təgə	=von	o	v=	ativon	o	və-ppi	tə=	ga	gup	to-Kankan,#	1SG.POSS	grandpa	3SG.M.PST-RED~tell	1SG	3SG.M-QUOT	#	still	before	far	LOC-DOWN	in	earth	=SG.CL:FEM	at_the_place_of	Butəm	TOP	wood	=SG.CL:FEM	ASP=	3SG.F.PST-sit	#	0	ASP=	3SG.F.PST-sit	first	#	0	and	when;if	day	one	=SG.CL:DIM	TOP	3SG.M.POSS=	brother	TOP	3SG.M.PST-RED~walk;go	to=	across	hunt	ART.M-Kankan,"My grandpa told me, long time ago in the land named Butam there was a log already there, and when one day his brother, Kankan, went to hunt.",en,WORD_ALIGNED,,all1_mp3 all1_wav all1_eaf all1_xml all1_tsv,,12879,34216,#nc	nc	nc_np.h	nc	nc	nc	##	other	other	other	dem_other	adp	np:dt	=rn	adp	pn_np:dt	other	np:s	=rn	=other	v:pred	##	0.h:s	=other	v:pred	other	##	0.h:s	other	other	np:dt	rn	=rn	other	=ln_pro.h:poss	np:dt_s	other	v:pred	=adp	adp	np:obl	pn_np.h:dt,,all1,∅	∅	bridging	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	new	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅	∅	∅	∅	new	∅,∅	∅	1004	∅	∅	∅	∅	∅	∅	∅	∅	∅	1001	∅	∅	1001	∅	1002	∅	∅	∅	∅	1002	∅	∅	∅	∅	1003	∅	∅	∅	∅	∅	∅	1004	1003	∅	∅	∅	∅	1005	1003,∅	∅	1004	∅	∅	∅	∅	∅	∅	∅	∅	∅	1001	∅	∅	1001	∅	1002	∅	∅	∅	∅	1002	∅	∅	∅	∅	1003	∅	∅	∅	∅	∅	∅	1004	1003	∅	∅	∅	∅	1005	1003
all1_0004,mctulil,vəpi təga gup io kəvənau laike itəra nəbo ba tipur io to vəteltel ana kəvop.,#	0	və-p~pi	tə=	ga	gup	#	io	kəvənau	laik	=e	i-tər	=a	nə-bo	ba	tipur	io	#	0	to	və-teltel	a-n	=a	kəvop,#	0	3SG.M.PST-RED~walk;go	to=	across	hunt	#	then	rain	big	=SG.CL:FEM	3SG.F.PST-meet	=3SG.M.PAT	LOC-UP	in	forest	then	#	0	SUB	3SG.M.PST-wander	3SG.M-with	=PAT	dog,"He went to hunt, then heavy rain came to him there in the bush, then he wandered around with dogs.",en,MORPHEME_ALIGNED,,all1_mp3 all1_wav all1_eaf all1_xml all1_tsv,,34216,45856,##	0.h:s	v:pred	=adp	adp	np:obl	##	other	np:a	rn	=rn	v:pred	=pro.h:p	dem_other	adp	np:l	other	#ac	0.h:s	other	v:pred	adp	=ln	np:obl,,all1,∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	new,∅	1003	∅	∅	∅	1005	∅	∅	1006	∅	∅	∅	1003	∅	∅	1007	∅	∅	1003	∅	∅	∅	∅	1008,∅	1003	∅	∅	∅	1005	∅	∅	1006	∅	∅	∅	1003	∅	∅	1007	∅	∅	1003	∅	∅	∅	∅	1008
all1_0005,mctulil,"io mata da bəvəliu o nəmumə da 'Voi bəli', ioi laikpoi to voi idə itəne 'Voi bəli' o vətəra ioivoi to bəiləma.",#	#	0	io	mata	da	bə=	və-liu	o	nə-mumə	da	Voi	bəli	ioi	laik	=poi	#	to	voi	idə	itən	=e	Voi	bəli	%	%	o	0	və-tər	=a	ioi	=voi	#	to	bə=	iləm	=a,#	#	0	then	until	PURP	ASP=	3SG.M.PST-return	TOP	LOC-DOWN.FAR	PURP	3SG.FLAT	pig	water	big	=SG.CL:FLAT	#	REL	SG.FLAT	3N	name	=SG.CL:FEM	Voi	pig	%	%	TOP	0	3SG.M.PST-meet	=PAT	water	=SG.CL:FLAT	#	REL	ASP=	flood	=SG.CL:MASC,"And when he came back, down at the 'pig river' - a big river called 'pig river', he arrived the river which was flooded.",en,MORPHEME_ALIGNED,,all1_mp3 all1_wav all1_eaf all1_xml all1_tsv,,45856,56228,##	#	0.h:s	other	other	other	=other	v:pred	other	dem_other	adp	pn_np:l	rn	np:appos	rn	=rn	#rc	other	ln_np:poss	ln_pro:poss	np:s	=rn	pn_np:pred	rn	%	%	other	0.h:a	v:pred	=ln	np:p	=rn	#rc	other	=other	np:pred	=rn,,all1,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	1003	∅	∅	∅	∅	∅	∅	∅	∅	1009	∅	1009	∅	∅	∅	∅	∅	∅	1010	∅	∅	∅	∅	∅	∅	1003	∅	∅	1009	∅	∅	∅	∅	∅	∅,∅	∅	1003	∅	∅	∅	∅	∅	∅	∅	∅	1009	∅	1009	∅	∅	∅	∅	∅	∅	1010	∅	∅	∅	∅	∅	∅	1003	∅	∅	1009	∅	∅	∅	∅	∅	∅
all1_0006,mctulil,doto bəiləma da ioivoi o vəkəbənəta tarne da vəmatər ba abəbət idəkən mənbe vərete emu.,#	#	doto	bə=	iləm	=a	da	ioi	=voi	%	o	0	və-kəbənət	=a	tarn	=e	#	0	da	və-matər	ba	a-bəbət	idə=	kən	mən=	be	vəret	=e	e-mu,#	#	when;if	ASP=	flood	=SG.CL:MASC	PURP	water	=SG.CL:FLAT	%	TOP	0	3SG.M.PST-make	=PAT	umbrella	=SG.CL:FEM	#	0	PURP	3SG.M.PST-stand	in	ART-bank	3N.POSS=	neck	from=	at	side	=SG.CL:FEM	3SG.F-IN,When the river was already flooded he made an umbrella for him to stand on river bank on the other side.,en,MORPHEME_ALIGNED,,all1_mp3 all1_wav all1_eaf all1_xml all1_tsv,,56228,63735,##	#ac	other	=other	np:pred	=rn	adp	np:l	=rn	%	other	0.h:a	v:pred	=ln	np:p	=rn	#	0.h:s	other	v:pred	adp	ln_np:poss	ln_pro:poss	np:l	=adp	adp	np:appos	=rn	rn,,all1,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅	∅	bridging	∅	∅,∅	∅	∅	∅	∅	∅	∅	1009	∅	∅	∅	1003	∅	∅	1011	∅	∅	1003	∅	∅	∅	∅	1009	1012	∅	∅	1013	∅	∅,∅	∅	∅	∅	∅	∅	∅	1009	∅	∅	∅	1003	∅	∅	1011	∅	∅	1003	∅	∅	∅	∅	1009	1012	∅	∅	1013	∅	∅
all1_0007,mctulil,me voi o bəvoi idəre nangə.,#	me	voi	o	bə=	voi	idə-re	nangə,#	and	SG.FLAT	TOP	ASP=	SG.FLAT	3N.PST-carry	tree.PL,and the river was already carrying trees.,en,MORPHEME_ALIGNED,,all1_mp3 all1_wav all1_eaf all1_xml all1_tsv,,63735,69448,##	other	pro:dt_a	other	=other	pro:a	v:pred	np:p,,all1,∅	∅	∅	∅	∅	∅	∅	new,∅	∅	1009	∅	∅	1009	∅	1014,∅	∅	1009	∅	∅	1009	∅	1014
all1_0008,mctulil,"idəboka nangə-, voi idəpovər məna nangə io voi idəre idə nəmə ba ioivoi da nəmmə təbe viuve.",#	0	idə-bok	=a	nangə	#	voi	idə-povər	mən	=a	nangə	#	io	voi	idə-re	idə	nə-mə	ba	ioi	=voi	#	0	da	nə-m~mə	tə=	be	viuv	=e,#	0	3N.PST-break	=PAT	tree	#	SG.FLAT	3N.PST-dig	off	=PAT	tree	#	then	SG.FLAT	3N.PST-carry	3N	LOC-DOWN	in	water	=SG.CL:FLAT	#	0	PURP	LOC-RED~DOWN	to=	at	sea	=SG.CL:FEM,"The flood made the trees fall-, the river dug out trees then river carried them down to the sea.",en,MORPHEME_ALIGNED,,all1_mp3 all1_wav all1_eaf all1_xml all1_tsv,,69448,77405,##	0:a	v:pred	=ln	np:p	##	cl_pro:a	v:pred	rv	=ln	np:p	##	other	cl_pro:a	v:pred	pro:p	dem_other	adp	np:l	=rn	#	0:s	other	dem_other:pred_l	=other	adp	np:g	=rn,,all1,∅	bridging	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅,∅	1015	∅	∅	1014	∅	1009	∅	∅	∅	1014	∅	∅	1009	∅	1014	∅	∅	1009	∅	∅	1009	∅	∅	∅	∅	1016	∅,∅	1015	∅	∅	1014	∅	1009	∅	∅	∅	1014	∅	∅	1009	∅	1014	∅	∅	1009	∅	∅	1009	∅	∅	∅	∅	1016	∅
all1_0009,mctulil,doto voi idəre nangə navonbət io iap o vəmətomətor konəng me vətton be boi da məle bətəpma iləma io iap o atəvək təkənəmə ba məngəda.,#	#	doto	voi	idə-re	nangə	navonbət	%	io	iap	o	0	və-məto~mətor	konəng	#	0	me	və-t~ton	be	=boi	#	da	məle	bətəpm	=a	iləm	=a	#	0	io	iap	o	a-təvək	təkə=	nə-mə	ba	məngəd	=a,#	#	when;if	SG.FLAT	3N.PST-carry	tree	like.that	%	then	3SG.M	TOP	0	3SG.M.PST-RED~sit	only	#	0	and	3SG.M.PST-RED~look	at	=SG.FLAT	#	PURP	rest	all.over	=PAT	flood	=SG.CL:MASC	#	0	then	3SG.M	TOP	3SG.M.NPST-cross	to=	LOC-DOWN	in	home;village	=SG.CL:MASC,When the river carried trees like that he sat and he looked at river waiting for the flood so he can cross to get back home.,en,MORPHEME_ALIGNED,,all1_mp3 all1_wav all1_eaf all1_xml all1_tsv,,77405,88259,##	#ac	other	cl_pro:a	v:pred	np:p	other	%	other	pro.h:dt_s	other	0.h:s	v:pred	other	##	0.h:a	other	v:pred	rv	=pro:p	#	other	v:pred	rv	=ln	np:s_sv	=rn	##	0.h:s	other	pro.h:dt_s	other	v:pred	=other	dem_other	adp	np:g	=rn,,all1,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅,∅	∅	∅	1009	∅	1014	∅	∅	∅	1003	∅	1003	∅	∅	∅	1003	∅	∅	∅	1009	∅	∅	∅	∅	∅	1015	∅	∅	1003	∅	1003	∅	∅	∅	∅	∅	1017	∅,∅	∅	∅	1009	∅	1014	∅	∅	∅	1003	∅	1003	∅	∅	∅	1003	∅	∅	∅	1009	∅	∅	∅	∅	∅	1015	∅	∅	1003	∅	1003	∅	∅	∅	∅	∅	1017	∅
all1_0010,mctulil,doto vəmatər nanbət io vəton mata tor laike kabare mənəbo to ioivoi idərre.,#	#	0	doto	və-m~atər	nanbət	%	io	0	və-ton	mat	=a	tor	laik	=e	kabar	=e	mə=	nə-bo	#	to	ioi	=voi	idə-r~re	=e,#	#	0	when;if	3SG.M.PST-RED~stand	like.that	%	then	0	3SG.M.PST-look	get	=PAT	wood	big	=SG.CL:FEM	long	=SG.CL:FEM	from=	LOC-UP	#	SUB	water	=SG.FLAT	3N.PST-RED~carry	=3SG.F.PAT,"When he was standing there he saw a big, long log up there that the river was carrying",en,MORPHEME_ALIGNED,,all1_mp3 all1_wav all1_eaf all1_xml all1_tsv,,88259,99889,##	#ac	0.h:s	other	v:pred	other	%	other	0.h:a	v:pred	rv	=ln	np:p	rn	=rn	np:appos	=rn	=adp	dem_other:l	#	other	np:a	=rn	v:pred	=pro:p,,all1,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	1003	∅	∅	∅	∅	∅	1003	∅	∅	∅	1018	∅	∅	1018	∅	∅	∅	∅	∅	1009	∅	∅	1018,∅	∅	1003	∅	∅	∅	∅	∅	1003	∅	∅	∅	1018	∅	∅	1018	∅	∅	∅	∅	∅	1009	∅	∅	1018
