corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tulil	sves	0001	#	#	#nc	#nc				
tulil	sves	0001	do	now;here	nc	nc				
tulil	sves	0001	da	PURP	nc	nc				
tulil	sves	0001	ngan-əngar	1SG.NPST-say	nc	nc				
tulil	sves	0001	be	at	nc	nc				
tulil	sves	0001	a-moli	ART-person	nc	nc				
tulil	sves	0001	=a	=SG.CL:MASC	nc	nc				
tulil	sves	0001	a-n	3SG.M-with	nc	nc				
tulil	sves	0001	=a	=PAT	nc	nc				
tulil	sves	0001	va	3SG.M.POSS	nc	nc				
tulil	sves	0001	dərng	old	nc	nc				
tulil	sves	0001	=e	=SG.CL:FEM	nc	nc				
tulil	sves	0002	#	#	#nc	#nc				
tulil	sves	0002	ngang	1SG	nc	nc				
tulil	sves	0002	e-venang	ART-something	nc	nc				
tulil	sves	0003	#	#	##	##				
tulil	sves	0003	0	0	0.1:a	0	1	a		
tulil	sves	0003	do	NC	nc	nc				
tulil	sves	0003	ngan-əngar	1SG.NPST-say	v:pred	v		pred		
tulil	sves	0003	be	at	rv_adp	rv_adp				
tulil	sves	0003	a-moli	ART-person	np.h:p	np	h	p	6001	new
tulil	sves	0003	=a	=SG.CL:MASC	=rn	=rn				
tulil	sves	0003	a-n	3SG.M-with	rn	rn				
tulil	sves	0003	=a	=PAT	=rn	=rn				
tulil	sves	0003	va	3SG.M.POSS	rn_pro.h:poss	rn_pro	h	poss	6001	
tulil	sves	0003	dərng	old	rn_np.h	rn_np	h		6002	bridging
tulil	sves	0003	=e	=SG.CL:FEM	=rn	=rn				
tulil	sves	0003	#	#	#	#				
tulil	sves	0003	to	SUB	other	other				
tulil	sves	0003	ve	3SG.F.POSS	ln_pro.h:poss	ln_pro	h	poss	6002	
tulil	sves	0003	dərng	old	np.h:s	np	h	s	6001	
tulil	sves	0003	=a	=SG.CL:MASC	=rn	=rn				
tulil	sves	0003	o	TOP	other	other				
tulil	sves	0003	molimoli	people	np.h:pred	np	h	pred		
tulil	sves	0003	=a	=SG.CL:MASC	=rn	=rn				
tulil	sves	0003	be	at	rn	rn				
tulil	sves	0003	gup	hunt	rn	rn				
tulil	sves	0003	#	#	#ac	#ac				
tulil	sves	0003	gup	hunt	vother:pred	vother		pred		
tulil	sves	0003	mat	get	rv	rv				
tulil	sves	0003	=a	=pat	=ln	=ln				
tulil	sves	0003	bəli	pig	np:p	np		p	6003	new
tulil	sves	0003	kuobər	wild	rn	rn				
tulil	sves	0003	ba	in	adp	adp				
tulil	sves	0003	tipur	woods	np:l	np		l	6004	new
tulil	sves	0003	#	#	#	#				
tulil	sves	0003	0	0	0.h:a	0	h	a	6001	
tulil	sves	0003	to	SUB	other	other				
tulil	sves	0003	və-təm	3SG.M.PST-know	v:pred	v		pred		
tulil	sves	0003	=a	=PAT	=ln	=ln				
tulil	sves	0003	gup	hunt	np:p	np		p	6005	bridging
tulil	sves	0004	#	#	##	##				
tulil	sves	0004	0	0	0.h:s	0	h	s	6001	
tulil	sves	0004	io	then	other	other				
tulil	sves	0004	vənu	day	np:dt	np		dt		
tulil	sves	0004	tarə	many.NHUM	rn	rn				
tulil	sves	0004	o	TOP	other	other				
tulil	sves	0004	və-p~pi	3SG.M.PST-RED~NSPEC	v:pred	v		pred		
tulil	sves	0004	tə=	to=	=adp	=adp				
tulil	sves	0004	ba	in	adp	adp				
tulil	sves	0004	tipur	woods	np:g	np		g	6004	
tulil	sves	0004	#	#	#	#				
tulil	sves	0004	0	0	0.h:s	0	h	s	6001	
tulil	sves	0004	və-ng~gup	3SG.M.PST-RED~hunt	v:pred	v		pred		
tulil	sves	0005	#	#	##	##				
tulil	sves	0005	0	0	0.h:a	0	h	a	6001	
tulil	sves	0005	io	then	other	other				
tulil	sves	0005	və-re	3SG.M.PST-carry	v:pred	v		pred		
tulil	sves	0005	bəli	pig	np:p	np		p	6006	bridging
tulil	sves	0005	tuk	give/RECIP	adp	adp				
tulil	sves	0005	=a	=PAT	=ln	=ln				
tulil	sves	0005	va	3SG.M.POSS	ln_pro.h:poss	ln_pro	h	poss	6001	
tulil	sves	0005	dərng	old	np.h:g	np	h	g	6002	
tulil	sves	0005	=e	=SG.CL:FEM	=rn	=rn				
tulil	sves	0005	e-n	3SG.F-with	rn	rn				
tulil	sves	0005	=a	=PAT	=rn	=rn				
tulil	sves	0005	ip=	3DL.M.POSS=	=rn_pro.h:poss	=rn_pro	h	poss	6007	bridging
tulil	sves	0005	vil	son/daughter	rn_np.h	rn_np	h		6008	new
tulil	sves	0005	=a	=SG.CL:MASC	=rn	=rn				
tulil	sves	0006	#	#	##	##				
tulil	sves	0006	0	0	0.h:a	0	h	a	6009	bridging
tulil	sves	0006	io	then	other	other				
tulil	sves	0006	tə-mət	3PL.HUM.PST-eat	v:pred	v		pred		
tulil	sves	0006	idə	3N	pro:p	pro		p	6006	
tulil	sves	0007	#	#	##	##				
tulil	sves	0007	0	0	0.h:s	0	h	s	6001	
tulil	sves	0007	iova	then_again	other	other				
tulil	sves	0007	vəti	day	np:dt	np		dt		
tulil	sves	0007	təgə	one	rn	rn				
tulil	sves	0007	=von	=SG.CL:DIM	=rn	=rn				
tulil	sves	0007	o	TOP	other	other				
tulil	sves	0007	va	again	other	other				
tulil	sves	0007	və-p~pi	3SG.M.PST-RED~NSPEC	v:pred	v		pred		
tulil	sves	0007	moli	again	rv	rv				
tulil	sves	0008	#	#	##	##				
tulil	sves	0008	idil	small	np.h:dt_s	np	h	dt_s	6008	
tulil	sves	0008	=a	=SG.CL:MASC	=rn	=rn				
tulil	sves	0008	b=	ASP=	=other	=other				
tulil	sves	0008	idə-mat	3N-get	v:pred	v		pred		
tulil	sves	0008	n	APPL	rv	rv				
tulil	sves	0008	=a	=3SG.M	=pro.h:s_iv	=pro	h	s_iv	6008	
tulil	sves	0008	#	#	#	#				
tulil	sves	0008	da	PURP	other	other				
tulil	sves	0008	a-n	3SG.M-with	pro.h:s	pro	h	s	6008	
tulil	sves	0008	=a	=PAT	=ln	=ln				
tulil	sves	0008	va=	3SG.M.POSS=	=ln_pro.h:poss	=ln_pro	h	poss	6008	
tulil	sves	0008	tti	father	np.h:obl	np	h	obl	6001	
tulil	sves	0008	=a	=SG.CL:MASC	=rn	=rn				
tulil	sves	0008	tə=	to=	=adp	=adp				
tulil	sves	0008	ba	in	adp	adp				
tulil	sves	0008	tipur	woods	np:pred_g	np		pred_g	6004	
tulil	sves	0008	#	#	#	#				
tulil	sves	0008	da-va	PURP-again	other	other				
tulil	sves	0008	ip	3DL.M	pro.h:s	pro	h	s	6010	bridging
tulil	sves	0008	katum	all	rn	rn				
tulil	sves	0008	i-tə=	3DL.M.NPST-to=	=rn_pro.h	=rn_pro	h			
tulil	sves	0008	ba	in	adp	adp				
tulil	sves	0008	tipur	woods	np:pred_g	np		pred_g	6004	
tulil	sves	0008	#	#	#	#				
tulil	sves	0008	0	0	0.h:s	0	h	s	6010	
tulil	sves	0008	ik-gup	3DL.M.NPST-hunt	v:pred	v		pred		
tulil	sves	0009	#	#	#nc	#nc				
tulil	sves	0009	io	then	nc	nc				
tulil	sves	0009	mata	later	nc	nc				
tulil	sves	0009	a-vi	3SG.M-this	nc	nc				
tulil	sves	0009	va=	3SG.M.POSS=	=nc_pro.h	=nc_pro	h		6008	
tulil	sves	0009	ttia	father	nc_np.h	nc_np	h		6001	
tulil	sves	0009	a-n	3SG.M-with	nc	nc				
tulil	sves	0009	=a	=3SG.M	=nc_pro.h	=nc_pro	h		6008	
tulil	sves	0010	#	#	##	##				
tulil	sves	0010	0	0	0.h:s	0	h	s	6010	
tulil	sves	0010	io	then	other	other				
tulil	sves	0010	ipə-p~pi	3SG.M.PST-RED~NSPEC	v:pred	v		pred		
tulil	sves	0010	tə=	to=	=adp	=adp				
tulil	sves	0010	ba	in	adp	adp				
tulil	sves	0010	tipur	woods	np:g	np		g	6004	
tulil	sves	0010	it-n	3DL.M-with	adp	adp				
tulil	sves	0010	=a	=PAT	=ln	=ln				
tulil	sves	0010	kəvop	dog(.PL)	np:obl	np		obl	6011	bridging
tulil	sves	0010	#	#	#	#				
tulil	sves	0010	0	0	0.h:s	0	h	s	6011	
tulil	sves	0010	da	PURP	other	other				
tulil	sves	0010	tə-gup	3PL.HUM.PST-hunt	v:pred	v		pred		
tulil	sves	0011	#	#	##neg	##neg				
tulil	sves	0011	0	0	0.h:a	0	h	a	6001	
tulil	sves	0011	io	then	other	other				
tulil	sves	0011	mata	until	other	other				
tulil	sves	0011	a-vi	3SG.M-this	dem_pro.h:dt	dem_pro	h	dt		
tulil	sves	0011	laik	big	np.h:appos	np	h	appos		
tulil	sves	0011	=a	=SG.CL:MASC	rn	rn				
tulil	sves	0011	o	TOP	other	other				
tulil	sves	0011	kori	NEG	other	other				
tulil	sves	0011	vən-m	3SG.M.PST.hit-APPL	v:pred	v		pred		
tulil	sves	0011	=a	=PAT	=ln	=ln				
tulil	sves	0011	go	NSPEC	ln	ln				
tulil	sves	0011	bəli	pig	np:p	np		p		
tulil	sves	0011	=a	=SG.CL:MASC	=rn	=rn				
tulil	sves	0011	#	#	##	##				
tulil	sves	0011	0	0	0.h:a	0	h	a	6001	
tulil	sves	0011	io	then	other	other				
tulil	sves	0011	bə=	ASP=	=other	=other				
tulil	sves	0011	v-ən	3SG.M.PST-hit	v:pred	v		pred		
tulil	sves	0011	ko	only	rv	rv				
tulil	sves	0011	mat	get	rv	rv				
tulil	sves	0011	=a	=PAT	=ln	=ln				
tulil	sves	0011	a-vi	3SG.M-this	dem_pro.h:p	dem_pro	h	p	6008	
tulil	sves	0011	idil	small	np.h:appos	np	h	appos		
tulil	sves	0011	=a	=SG.CL:MASC	=rn	=rn				
tulil	sves	0012	#	#	##	##				
tulil	sves	0012	0	0	0.h:a	0	h	a	6001	
tulil	sves	0012	io	then	other	other				
tulil	sves	0012	və-re	3SG.M.PST-carry	v:pred	v		pred		
tulil	sves	0012	=a	=3SG.M	=pro.h:p	=pro	h	p	6008	
tulil	sves	0013	#	#	##	##				
tulil	sves	0013	0	0	0.h:a	0	h	a	6001	
tulil	sves	0013	io	then	other	other				
tulil	sves	0013	vərai	3SG.M.PST.mumu	v:pred	v		pred		
tulil	sves	0013	mat	get	rv	rv				
tulil	sves	0013	=a	=3SG.M	=pro.h:p	=pro	h	p	6008	
tulil	sves	0013	ba	in	adp	adp				
tulil	sves	0013	tipur	woods	np:l	np		l	6004	
tulil	sves	0014	#	#	##	##				
tulil	sves	0014	0	0	0.h:a	0	h	a	6001	
tulil	sves	0014	və-man	3SG.M.PST-remove	v:pred	v		pred		
tulil	sves	0014	=a	=PAT	=ln	=ln				
tulil	sves	0014	və=	3SG.M.POSS.INAL=	=ln_pro.h:poss	=ln_pro	h	poss	6008	
tulil	sves	0014	lat	head	np:p	np		p	6012	bridging
tulil	sves	0014	=a	=SG.CL:MASC	=rn	=rn				
tulil	sves	0015	#	#	##	##				
tulil	sves	0015	0	0	0.h:a	0	h	a	6001	
tulil	sves	0015	və=	3SG.M.POSS.INAL=	=ln_pro.h:poss	=ln_pro	h	poss	6008	
tulil	sves	0015	lat	head	np:dt_obl	np		dt_obl	6012	
tulil	sves	0015	=a	=SG.CL:MASC	=rn	=rn				
tulil	sves	0015	o	TOP	other	other				
tulil	sves	0015	və-tuk	3SG.M.PST-give	v:pred	v		pred		
tulil	sves	0015	=a	=PAT	=ln	=ln				
tulil	sves	0015	kəvop	dog	np:p	np		p	6011	
tulil	sves	0015	n	APPL	adp	adp				
tulil	sves	0015	=a	=SG.CL:MASC	=pro:obl	=pro		obl		
tulil	sves	0015	me	and	other	other				
tulil	sves	0015	və=	3SG.M.POSS.INAL=	=ln_pro.h:poss	=ln_pro	h	poss	6008	
tulil	sves	0015	katə	foot	np:appos	np		appos	6013	bridging
tulil	sves	0015	me	and	rn	rn				
tulil	sves	0015	və=	3SG.M.POSS.INAL=	=rn_pro.h:poss	=rn_pro	h	poss	6008	
tulil	sves	0015	nok	hand	rn_np	rn_np			6014	bridging
tulil	sves	0016	#	#	##	##				
tulil	sves	0016	0	0	0.h:a	0	h	a	6001	
tulil	sves	0016	me	and	other	other				
tulil	sves	0016	bə=	ASP=	=other	=other				
tulil	sves	0016	və-re	3SG.M.PST-carry	v:pred	v		pred		
tulil	sves	0016	konəng	only	rv	rv				
tulil	sves	0016	n	APPL	rv	rv				
tulil	sves	0016	=a	=PAT	=ln	=ln				
tulil	sves	0016	va	3SG.M.POSS	ln_pro.h:poss	ln_pro	h	poss	6008	
tulil	sves	0016	mədərv	middle	np:p	np		p	6015	bridging
tulil	sves	0016	=e	=SG.CL:FEM	=rn	=rn				
tulil	sves	0017	#	#	##	##				
tulil	sves	0017	0	0	0.h:a	0	h	a	6001	
tulil	sves	0017	v-orən	3SG.M.PST-wrap	v:pred	v		pred		
tulil	sves	0017	mat	get	rv	rv				
tulil	sves	0017	=e	=3SG.F	=pro:p	=pro		p	6015	
tulil	sves	0017	#	#	#	#				
tulil	sves	0017	0	0	0.h:a	0	h	a	6001	
tulil	sves	0017	0	0	0:p	0		p	6015	
tulil	sves	0017	da	PURP	other	other				
tulil	sves	0017	və-re	3SG.M.PST-carry	v:pred	v		pred		
tulil	sves	0017	tə=	to=	=adp	=adp				
tulil	sves	0017	ba	in	adp	adp				
tulil	sves	0017	məngəd	home	np:g	np		g	6016	bridging
tulil	sves	0017	=a	=SG.CL:MASC	=rn	=rn				
tulil	sves	0017	tuk	give	adp	adp				
tulil	sves	0017	=a	=PAT	=ln	=ln				
tulil	sves	0017	va	3SG.M.POSS	ln_pro.h:poss	ln_pro	h	poss	6001	
tulil	sves	0017	dərng	old	np.h:obl	np	h	obl	6002	
tulil	sves	0017	=e	=SG.CL:FEM	=rn	=rn				
tulil	sves	0018	#	#	##	##				
tulil	sves	0018	me	and	other	other				
tulil	sves	0018	iap	3SG.M	pro.h:a	pro	h	a	6001	
tulil	sves	0018	v-ət	3SG.M.PST-eat	v:pred	v		pred		
tulil	sves	0018	mat	finish	rv	rv				
tulil	sves	0018	bem	at	rv	rv				
tulil	sves	0018	=a	=SG.CL:MASC	=pro.h:p	=pro	h	p	6015	
tulil	sves	0019	#	#	##	##				
tulil	sves	0019	0	0	0.h:s	0	h	s	6001	
tulil	sves	0019	io	then	other	other				
tulil	sves	0019	və-p~pi	3SG.M.PST-RED~NSPEC	v:pred	v		pred		
tulil	sves	0020	#	#	##	##				
tulil	sves	0020	0	0	0.h:s	0	h	s	6001	
tulil	sves	0020	bə=	ASP=	=other	=other				
tulil	sves	0020	və-liu	3SG.M.PST-return	v:pred	v		pred		
tulil	sves	0020	tə=	to=	=adp	=adp				
tulil	sves	0020	ba	in	adp	adp				
tulil	sves	0020	məngəd	home	np:g	np		g	6016	
tulil	sves	0020	=a	=SG.CL:MASC	=rn	=rn				
tulil	sves	0020	təpm	with	adp	adp				
tulil	sves	0020	=a	=PAT	=ln	=ln				
tulil	sves	0020	gati	share	np:obl	np		obl	6017	bridging
tulil	sves	0020	=voi	=SG.CL:FLAT	=rn	=rn				
tulil	sves	0020	voi-vi	SG.FLAT-this	rn	rn				
tulil	sves	0020	n	APPL	rn	rn				
tulil	sves	0020	=a	=PAT	=rn	=rn				
tulil	sves	0020	idil	small	rn_np.h:poss	rn_np	h	poss	6008	
tulil	sves	0020	=a	=SG.CL:MASC	=rn	=rn				
